S0,sigma,T,price_true_MC,price_pred_NN,abs_error,rel_error_pct
115.55556,0.31666666,0.5,21.108679,20.568142,0.5405369,2.5607328
115.55556,0.31666666,0.6666667,22.829264,21.90558,0.92368317,4.046049
115.55556,0.31666666,0.8333333,24.35213,23.26952,1.0826111,4.4456525
115.55556,0.31666666,1.0,25.845041,24.629044,1.2159977,4.7049556
115.55556,0.31666666,1.1666666,27.2757,26.016525,1.2591743,4.6164694
115.55556,0.31666666,1.3333334,28.488005,27.387756,1.1002483,3.862146
115.55556,0.31666666,1.5,29.957945,28.714367,1.243578,4.151079
115.55556,0.31666666,1.6666666,31.156809,30.014069,1.1427402,3.6677063
115.55556,0.31666666,1.8333334,32.262608,31.202795,1.0598125,3.2849562
115.55556,0.31666666,2.0,33.359417,32.33905,1.0203667,3.0587065
115.55556,0.35,0.5,21.839142,21.606974,0.2321682,1.0630829
115.55556,0.35,0.6666667,23.721964,23.200716,0.52124786,2.1973217
115.55556,0.35,0.8333333,25.43666,24.643225,0.79343605,3.1192617
115.55556,0.35,1.0,26.996367,26.042025,0.9543419,3.5350754
115.55556,0.35,1.1666666,28.50334,27.428087,1.0752525,3.772374
115.55556,0.35,1.3333334,29.95086,28.853115,1.097744,3.6651504
115.55556,0.35,1.5,31.278229,30.212877,1.0653515,3.4060478
115.55556,0.35,1.6666666,32.672283,31.45559,1.2166939,3.7239327
115.55556,0.35,1.8333334,33.8564,32.72692,1.1294785,3.3360853
115.55556,0.35,2.0,35.03759,33.959557,1.0780334,3.076791
115.55556,0.38333333,0.5,22.645584,22.871845,0.22626114,0.9991402
115.55556,0.38333333,0.6666667,24.639267,24.611115,0.028152466,0.11425854
115.55556,0.38333333,0.8333333,26.497822,26.183712,0.3141098,1.1854174
115.55556,0.38333333,1.0,28.18465,27.482428,0.7022228,2.491508
115.55556,0.38333333,1.1666666,29.830658,28.87875,0.9519081,3.1910398
115.55556,0.38333333,1.3333334,31.33751,30.289707,1.047802,3.3436034
115.55556,0.38333333,1.5,32.73122,31.722073,1.0091476,3.083135
115.55556,0.38333333,1.6666666,34.141876,33.032402,1.1094742,3.2495995
115.55556,0.38333333,1.8333334,35.48185,34.308582,1.1732674,3.306669
115.55556,0.38333333,2.0,36.68636,35.589436,1.0969238,2.9900045
115.55556,0.41666666,0.5,23.527388,24.091194,0.56380653,2.3963838
115.55556,0.41666666,0.6666667,25.698582,26.075186,0.37660408,1.4654664
115.55556,0.41666666,0.8333333,27.63243,27.57905,0.05337906,0.19317542
115.55556,0.41666666,1.0,29.436272,28.910456,0.52581596,1.7862859
